"idx";"Player";"side_swing_plane_p2";"side_swing_plane_p3";"side_swing_plane_p4";"side_swing_plane_p5";"side_swing_plane_p6";"side_err_msg";"side_update_at";"clubhead_face_sweet_spot";"clubhead_err_msg";"clubhead_update_at";"front_is_head_lifted";"front_is_head_rotated";"front_is_knee_straightened";"front_err_msg";"front_update_at"
"141347";"Test-Celery";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P1, IEEE 未偵測到 P2, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5, IEEE 未偵測到 P6";"2022-11-10 14:14:04";1;"";"2022-11-10 14:13:30";0;0;0;"";""
"141408";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2022-12-27 14:14:12";1;"";"2022-12-27 14:13:43";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-27 14:13:41"
"141410";"sung";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-06 14:15:10";1;"";"2023-01-06 14:14:35";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:14:32"
"141416";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-02-13 14:15:10";1;"";"2023-02-13 14:14:38";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-13 14:14:36"
"141431";"Test-Celery";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2022-11-10 14:14:48";1;"";"2022-11-10 14:14:16";0;0;0;"";""
"141434";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:15:25";1;"";"2023-02-10 14:14:55";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:14:52"
"141448";"sung";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P6";"2023-01-06 14:15:47";1;"";"2023-01-06 14:15:13";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:15:09"
"141501";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:15:49";1;"";"2023-02-10 14:15:21";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:15:19"
"141504";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-13 14:15:58";1;"";"2023-02-13 14:15:26";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-13 14:15:23"
"141508";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2022-12-27 14:15:12";1;"";"2022-12-27 14:14:42";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-27 14:14:40"
"141528";"sung";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P6";"2023-01-06 14:16:27";1;"";"2023-01-06 14:15:53";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:15:49"
"141541";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-02-10 14:16:32";1;"";"2023-02-10 14:16:02";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:15:59"
"141607";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-02-06 14:16:57";1;"";"2023-02-06 14:16:29";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-06 14:16:25"
"141610";"chi";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-06 14:17:09";1;"";"2023-01-06 14:16:35";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:16:31"
"141611";"Test-Celery";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:17:03";1;"";"2023-02-10 14:16:31";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:16:31"
"141613";"LewisQQ";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P1, IEEE 未偵測到 P2, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5, IEEE 未偵測到 P6";"2022-12-27 14:17:10";1;"";"2022-12-27 14:16:37";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-27 14:16:32"
"141617";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-13 14:17:10";0;"";"";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-13 14:16:37"
"141651";"yuzl";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-16 14:16:32";1;"";"2023-01-16 14:16:04";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-16 14:16:03"
"141652";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-13 14:17:46";1;"";"2023-02-13 14:17:14";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-13 14:17:12"
"141657";"chi";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-06 14:17:56";1;"";"2023-01-06 14:17:22";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:17:18"
"141703";"Jessica";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:17:53";1;"";"2023-02-10 14:17:23";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:17:23"
"141734";"yuzl";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-16 14:17:16";1;"";"2023-01-16 14:16:46";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-16 14:16:43"
"141738";"Jessica";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:18:29";1;"";"2023-02-10 14:17:58";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:17:57"
"141750";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-01-06 14:18:50";0;"";"";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:18:12"
"141802";"LewisQQ";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P1, IEEE 未偵測到 P2, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5, IEEE 未偵測到 P6";"2023-02-06 14:18:56";1;"";"2023-02-06 14:18:21";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-06 14:18:20"
"141807";"yuzl";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-16 14:17:49";1;"";"2023-01-16 14:17:20";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-16 14:17:17"
"141809";"Ellen";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:19:00";1;"";"2023-02-10 14:18:32";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:18:27"
"141822";"min";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-01-06 14:19:21";1;"";"2023-01-06 14:18:47";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:18:43"
"141836";"Ellen";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:19:27";1;"";"2023-02-10 14:18:57";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:18:54"
"141850";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P6";"2023-01-16 14:18:33";1;"";"2023-01-16 14:18:02";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-16 14:18:00"
"141853";"min";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-06 14:19:53";1;"";"2023-01-06 14:19:17";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:19:15"
"141857";"LewisQQ";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2022-12-27 14:19:54";1;"";"2022-12-27 14:19:19";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-27 14:19:16"
"141906";"Guest.2";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-06 14:19:56";1;"";"2023-02-06 14:19:26";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-06 14:19:24"
"141911";"Ellen";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-13 14:20:03";1;"";"2023-02-13 14:19:32";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-13 14:19:30"
"141925";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P6";"2023-01-16 14:19:06";1;"";"2023-01-16 14:18:38";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-16 14:18:34"
"141934";"LewisQQ";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2022-12-27 14:20:36";1;"";"2022-12-27 14:19:57";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-27 14:19:55"
"141938";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-02-13 14:20:22";1;"";"2023-02-13 14:19:51";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-06 14:19:58"
"142005";"yang";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P6";"2023-01-16 14:19:46";1;"";"2023-01-16 14:19:18";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-16 14:19:15"
"142008";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-13 14:20:36";0;"";"";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-13 14:20:19"
"142009";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2022-12-27 14:21:09";1;"";"2022-12-27 14:20:33";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-27 14:20:28"
